BalanceWeight,RetentionWeight,RiskyRevolverPenalty,SafeLowRevolvePenalty,Objective,ALL_THREE,BEST_ONLY,BEST_LTV,LTV_ONLY,PROFIT_ONLY,LTV_PROFIT,Overlap_BEST087,Overlap_LTV079,Overlap_Profit077
0.1,0.1,0.05,0.0,0.7607143211611054,0.9123878546897279,0.8382235843923392,0.8569355994550408,0.7102883775427177,0.5952782720516963,0.6842001227269086,,,
0.1,0.1,0.0,0.0,0.7605674119884798,0.9126329891761206,0.8409236885627349,0.8557016180744778,0.7024177973962571,0.6078155689822294,0.6751401433950173,,,
0.15,0.05,0.05,0.1,0.7603124250371213,0.9102607716570579,0.8498157306246644,0.8432338310626702,0.6624863498779496,0.6417743269789984,0.6712561470800288,,,
0.15,0.05,0.1,0.1,0.7599904516074167,0.9106254987539519,0.8478672162162162,0.8456082288828338,0.6718632424735558,0.6305670384491114,0.6809295837539053,,,
0.15,0.05,0.1,0.15,0.7597515426938839,0.9096955550430849,0.8502953560050116,0.8406907729336967,0.6525973620829942,0.6485606707592892,0.6747821244893054,,,
0.15,0.05,0.15,0.15,0.7596954350018433,0.9099443953133718,0.8480680306067657,0.8429805753860127,0.6619707754271766,0.6366357124394184,0.6841871173596091,,,
0.1,0.1,0.15,0.05,0.7592642796602421,0.9112410321492778,0.8351063957401109,0.8556000063578565,0.7102042522375915,0.5877547915993537,0.6972744939517744,,,
0.05,0.15,0.15,0.0,0.7584809734199186,0.9097534823135577,0.8215496416681582,0.861320446866485,0.734191788445891,0.5564822914378029,0.701470967716094,,,
0.1,0.1,0.0,0.15,0.7584226374291605,0.9104783509763809,0.8487490114551637,0.8423296562216167,0.6493995085435313,0.6605903560581583,0.6593404311463591,,,
0.1,0.1,0.0,0.05,0.7578702423471909,0.9123320635546464,0.8439843568999463,0.8521081330608538,0.6866447200976403,0.6275723056542811,0.6710678458703838,,,
0.15,0.0,0.0,0.15,0.7576629479564257,0.9067834897526501,0.8526186543762305,0.8260616875567666,0.6142654214808787,0.682489724717286,0.6533531167187375,,,
0.1,0.1,0.1,0.05,0.7573218536340937,0.9120797108424772,0.8388644376230535,0.8549438415077202,0.7033397973962572,0.6034969757673667,0.6894825588400225,,,
0.1,0.1,0.0,0.1,0.7570371927903118,0.9116147913458558,0.8465783042777878,0.8475677238873751,0.669079295362083,0.6451369693053312,0.6658239990386926,,,
0.1,0.1,0.05,0.05,0.7569252441775195,0.9124421441696112,0.8418360318596743,0.8538083115349683,0.6954858844589097,0.6167198487883684,0.6807035582792599,,,
0.15,0.0,0.15,0.0,0.7564581669843322,0.9114139164465935,0.8393674608913549,0.8484482661217075,0.7035658173311635,0.5937181909531503,0.7024385351277738,,,
0.05,0.15,0.1,0.0,0.756045795707602,0.9113899786498046,0.8266803246822981,0.8614910676657583,0.7288130577705452,0.5739196833602584,0.6946642683649763,,,
0.1,0.1,0.05,0.15,0.755651812129258,0.9112962113446159,0.8473866364775371,0.8453580581289737,0.6600205573637103,0.652873762197092,0.6701061145557959,,,
0.1,0.1,0.05,0.1,0.7552732394829837,0.9120767303948918,0.8448492702702703,0.8500609423251589,0.6788059129373475,0.6358585053311794,0.6759983946166788,,,
0.1,0.1,0.15,0.1,0.7552719181702529,0.9115901438968447,0.8391910587077144,0.8527183869209809,0.6954782009764036,0.610359444911147,0.693833740447008,,,
0.05,0.15,0.0,0.0,0.7550625288686771,0.9131269465749179,0.8341634789690353,0.8603027656675749,0.715351986167616,0.6014572743134087,0.6782453370183449,,,
0.05,0.15,0.05,0.0,0.7549254699410893,0.9125048529167441,0.8308668068730982,0.8611394804722978,0.7225440260374288,0.5888408516962843,0.686908241127934,,,
0.1,0.1,0.1,0.1,0.7545553886299604,0.912068155154671,0.8424202400214783,0.851682684831971,0.6876438331977217,0.6243422442649434,0.6853689728430665,,,
